,id,publication_year,cited_by_count,author_ids
52,https://openalex.org/W2151437300,2014.0,110,"['A5018285423', 'A5014048759', 'A5033081182', 'A5108139738', 'A5025218537']"
53,https://openalex.org/W2117117528,2012.0,108,"['A5071165387', 'A5016057473', 'A5057803453']"
54,https://openalex.org/W2206881958,2015.0,108,"['A5068819495', 'A5044898565', 'A5032926589', 'A5024505700']"
55,https://openalex.org/W2790854217,2019.0,103,"['A5008115861', 'A5044898565', 'A5024505700', 'A5044033087']"
56,https://openalex.org/W1571176688,2015.0,101,"['A5000683102', 'A5071165387', 'A5014088619']"
57,https://openalex.org/W2016241164,2011.0,100,"['A5014088619', 'A5071165387']"
58,https://openalex.org/W2141277304,2014.0,97,"['A5058212934', 'A5111222692', 'A5088517824']"
59,https://openalex.org/W2052138360,2014.0,96,"['A5021836148', 'A5051455237', 'A5003777693', 'A5044898565', 'A5024505700']"
60,https://openalex.org/W2898706124,2018.0,96,"['A5084955495', 'A5061923992', 'A5014283670', 'A5083126896', 'A5084677225', 'A5044849571']"
61,https://openalex.org/W2782151388,2018.0,95,"['A5076594501', 'A5021797990', 'A5032942801', 'A5024705099', 'A5078719120', 'A5006932859']"
62,https://openalex.org/W3138682039,2021.0,94,"['A5071165387', 'A5016057473', 'A5090030525', 'A5023753116', 'A5067567133']"
63,https://openalex.org/W3176348367,2021.0,94,"['A5071165387', 'A5052099873', 'A5090030525', 'A5004774200', 'A5038390320', 'A5016057473', 'A5038488889', 'A5067567133', 'A5023753116']"
64,https://openalex.org/W2187648190,2015.0,88,"['A5059674609', 'A5024505700', 'A5068819495', 'A5044898565', 'A5070929859']"
65,https://openalex.org/W2921402195,2019.0,86,"['A5000683102', 'A5101809319', 'A5071165387', 'A5024018027']"
66,https://openalex.org/W2942291402,2019.0,84,"['A5079841024', 'A5079452617']"
67,https://openalex.org/W3206050115,2021.0,82,"['A5061160911', 'A5002981651', 'A5024505700', 'A5039916323', 'A5056226566', 'A5051851888', 'A5004099218', 'A5044898565', 'A5035070413']"
68,https://openalex.org/W2800048244,2018.0,81,"['A5071165387', 'A5016057473', 'A5057803453']"
69,https://openalex.org/W3092721307,2021.0,81,"['A5043346142', 'A5079452617', 'A5050318092']"
70,https://openalex.org/W2114532600,2014.0,76,"['A5036998377', 'A5002595735', 'A5024505700', 'A5044898565']"
71,https://openalex.org/W3177019841,2021.0,76,"['A5021515262', 'A5050415063', 'A5020199695', 'A5070491108', 'A5044898565']"
72,https://openalex.org/W4324155120,2023.0,76,"['A5021515262', 'A5054087761', 'A5004951359', 'A5024505700', 'A5044898565', 'A5050415063', 'A5024898168']"
73,https://openalex.org/W1992123715,2004.0,72,"['A5030805884', 'A5071165387', 'A5037969281']"
74,https://openalex.org/W3019602516,2020.0,72,"['A5083126896', 'A5063752021', 'A5061923992', 'A5084955495', 'A5014283670', 'A5044849571']"
75,https://openalex.org/W2075000550,2014.0,70,"['A5084955495', 'A5081008532', 'A5062093738']"
76,https://openalex.org/W2614820936,2017.0,69,"['A5021515262', 'A5059787882', 'A5070491108', 'A5032926589', 'A5025218537']"
77,https://openalex.org/W2936285431,2019.0,67,"['A5084955495', 'A5061923992', 'A5090730667', 'A5042192372']"
78,https://openalex.org/W2508411949,2016.0,64,"['A5014048759', 'A5000035181', 'A5025218537']"
79,https://openalex.org/W2952411148,2019.0,62,"['A5081354576', 'A5100648498', 'A5058212934']"
80,https://openalex.org/W3212688143,2021.0,62,"['A5027417114', 'A5049740369', 'A5058212934']"
81,https://openalex.org/W4389519044,2023.0,62,"['A5026189296', 'A5042817035', 'A5033829606', 'A5058212934']"
82,https://openalex.org/W2551188670,2016.0,61,"['A5073010651', 'A5052396839', 'A5000066138']"
83,https://openalex.org/W3148596093,2021.0,53,"['A5032478558', 'A5082984309', 'A5068264194', 'A5100320542', 'A5061824052', 'A5006932859']"
84,https://openalex.org/W2114887670,2014.0,52,"['A5070565287', 'A5087587379', 'A5101824160', 'A5032456107']"
85,https://openalex.org/W2157157156,2020.0,52,"['A5042551745', 'A5071165387', 'A5002330321', 'A5088555912', 'A5074388586', 'A5017467806', 'A5078902586', 'A5035203700']"
86,https://openalex.org/W2937471310,2019.0,52,"['A5065605346', 'A5075682473', 'A5022660208', 'A5041733470']"
87,https://openalex.org/W2807321295,2018.0,50,"['A5083126896', 'A5046133815', 'A5061923992', 'A5044849571', 'A5084955495', 'A5112865214', 'A5028928899', 'A5112466339']"
88,https://openalex.org/W4313531432,2023.0,50,"['A5084541387', 'A5000035181', 'A5025218537', 'A5041522495', 'A5010107878', 'A5014048759']"
89,https://openalex.org/W4390671601,2024.0,46,"['A5015855466', 'A5008840028', 'A5088621577', 'A5084955495', 'A5061923992']"
90,https://openalex.org/W4238938728,2018.0,41,"['A5108542460', 'A5058212934', 'A5111494550']"
91,https://openalex.org/W3048746621,2020.0,37,"['A5074785110', 'A5082391072', 'A5022660208']"
92,https://openalex.org/W4378469510,2023.0,37,"['A5051722276', 'A5014617842', 'A5079452617']"
93,https://openalex.org/W4408399347,2025.0,37,"['A5112468935', 'A5062253481', 'A5082953212', 'A5071261828']"
94,https://openalex.org/W4293052867,2022.0,35,"['A5109368065', 'A5070909977', 'A5047436850', 'A5052345140', 'A5042391987']"
95,https://openalex.org/W4309348012,2022.0,29,"['A5091251187', 'A5003777693', 'A5071524745', 'A5082937374', 'A5023007469', 'A5044898565', 'A5024505700']"
96,https://openalex.org/W4408165369,2025.0,28,"['A5101305177', 'A5037727403', 'A5083899273']"
97,https://openalex.org/W4317569086,2023.0,24,"['A5071024446', 'A5008862185', 'A5010117081', 'A5080480199', 'A5059223686']"
98,https://openalex.org/W4396230711,2024.0,16,"['A5103204998', 'A5091251187', 'A5044898565']"
99,https://openalex.org/W3171500880,2021.0,14,['A5073010651']
100,https://openalex.org/W4395463940,2024.0,14,"['A5092557136', 'A5038308505', 'A5041084891', 'A5025218537', 'A5015478086']"
101,https://openalex.org/W4402642484,2024.0,14,"['A5090030525', 'A5071165387', 'A5016057473']"
102,https://openalex.org/W4399084188,2024.0,13,"['A5008862185', 'A5071024446', 'A5005219721']"
103,https://openalex.org/W4409736133,2025.0,13,"['A5018646665', 'A5050735872', 'A5053806434', 'A5086934220', 'A5021777354']"
104,https://openalex.org/W4409885603,2025.0,12,"['A5013420619', 'A5018646665', 'A5039637818', 'A5074825066', 'A5083645580', 'A5036398088', 'A5042324278']"
105,https://openalex.org/W2033167326,2006.0,133,"['A5025218537', 'A5014662127', 'A5061287527', 'A5046546654']"
106,https://openalex.org/W1502950997,2004.0,118,['A5071165387']
107,https://openalex.org/W2160442532,2004.0,116,"['A5037774973', 'A5070565287', 'A5053234439']"
108,https://openalex.org/W2138216903,2009.0,107,"['A5071165387', 'A5002330321', 'A5085423155']"
109,https://openalex.org/W2135615843,2013.0,104,"['A5014048759', 'A5059787882', 'A5025218537']"
110,https://openalex.org/W2602970604,2007.0,98,['A5071165387']
111,https://openalex.org/W2287926972,2015.0,95,['A5070565287']
112,https://openalex.org/W1649443842,2012.0,93,"['A5077163579', 'A5071165387']"
113,https://openalex.org/W2163129448,2013.0,91,"['A5018285423', 'A5014048759', 'A5025218537']"
114,https://openalex.org/W2780818762,2017.0,88,"['A5013376896', 'A5022660208', 'A5062124553']"
115,https://openalex.org/W1139224560,2015.0,87,"['A5071195976', 'A5053503915', 'A5082617644', 'A5083878887', 'A5024505700', 'A5044898565', 'A5024898168', 'A5068819495', 'A5073578227']"
116,https://openalex.org/W1590503460,2003.0,87,"['A5022272025', 'A5024505700', 'A5071118771', 'A5044898565']"
117,https://openalex.org/W2082732197,1999.0,85,"['A5022272025', 'A5024505700', 'A5055943837', 'A5044898565']"
118,https://openalex.org/W2047740442,2014.0,82,"['A5014048759', 'A5073691332', 'A5035165297', 'A5064601780', 'A5000035181', 'A5025218537']"
119,https://openalex.org/W2136715366,2012.0,81,"['A5024898168', 'A5083599653', 'A5071080751', 'A5036998377', 'A5044898565', 'A5024505700']"
120,https://openalex.org/W35086054,2011.0,77,"['A5058212934', 'A5112237032']"
121,https://openalex.org/W2141627821,2014.0,74,"['A5084955495', 'A5081008532', 'A5061810530', 'A5067688305', 'A5062093738']"
122,https://openalex.org/W2165412850,2011.0,72,"['A5002787525', 'A5006476793', 'A5071165387']"
123,https://openalex.org/W2810463027,2018.0,69,"['A5014283670', 'A5084955495', 'A5061923992', 'A5083126896', 'A5044849571']"
124,https://openalex.org/W2963104173,2021.0,68,"['A5096878617', 'A5112456364', 'A5101058262', 'A5110671642', 'A5061923992', 'A5084955495']"
125,https://openalex.org/W2092770599,2012.0,65,"['A5070565287', 'A5087587379', 'A5058654623']"
126,https://openalex.org/W2053230134,2007.0,64,"['A5104185404', 'A5013013481', 'A5053982410']"
127,https://openalex.org/W2159833638,2006.0,64,"['A5029571794', 'A5089767463', 'A5070565287', 'A5085905386']"
128,https://openalex.org/W2012654743,2007.0,63,"['A5048660530', 'A5081581970', 'A5088422764', 'A5071165387']"
129,https://openalex.org/W2035236032,2006.0,62,"['A5071165387', 'A5037695214', 'A5022967411']"
130,https://openalex.org/W2122992233,2013.0,60,"['A5109855262', 'A5061938020', 'A5033439062', 'A5109368065', 'A5020045193']"
131,https://openalex.org/W22264387,2014.0,59,"['A5061923992', 'A5084955495']"
132,https://openalex.org/W2057225446,2014.0,58,"['A5035632114', 'A5055900838', 'A5071261828', 'A5077792493']"
133,https://openalex.org/W2049657780,2012.0,57,"['A5002330321', 'A5071165387']"
134,https://openalex.org/W2795366572,2018.0,57,"['A5083126896', 'A5102872779', 'A5112865214', 'A5084955495', 'A5061923992', 'A5044849571']"
135,https://openalex.org/W2040620802,2009.0,56,"['A5044898565', 'A5071524745', 'A5023007469']"
136,https://openalex.org/W3123776244,2009.0,56,"['A5071165387', 'A5037969281']"
137,https://openalex.org/W2185115617,2014.0,55,"['A5058212934', 'A5102004622']"
138,https://openalex.org/W2229694010,2021.0,55,"['A5084955495', 'A5061810530', 'A5067688305', 'A5062093738', 'A5081008532']"
139,https://openalex.org/W1979726532,2011.0,54,"['A5031000631', 'A5036998377', 'A5024505700', 'A5003777693', 'A5044898565']"
140,https://openalex.org/W1969199540,2013.0,53,"['A5037969281', 'A5063297679', 'A5071165387', 'A5006476793', 'A5062769472', 'A5022967411']"
141,https://openalex.org/W2091651260,2012.0,52,"['A5000683102', 'A5014088619', 'A5071165387', 'A5033887103']"
142,https://openalex.org/W2039827492,2011.0,50,"['A5058212934', 'A5112237032']"
143,https://openalex.org/W2111050685,2011.0,49,"['A5074307166', 'A5058212934', 'A5102004622']"
144,https://openalex.org/W134656973,2013.0,48,"['A5084955495', 'A5081008532', 'A5062093738']"
145,https://openalex.org/W1549695605,2009.0,47,"['A5058212934', 'A5026809679', 'A5112237032']"
146,https://openalex.org/W2293605466,2013.0,47,"['A5006257275', 'A5003777693', 'A5002595735', 'A5024505700', 'A5044898565', 'A5063975186']"
147,https://openalex.org/W2874496232,2019.0,47,"['A5071165387', 'A5067567133']"
148,https://openalex.org/W1980706971,2013.0,43,"['A5070565287', 'A5087587379', 'A5101824160', 'A5032456107']"
149,https://openalex.org/W163834085,2018.0,42,"['A5022660208', 'A5042560362']"
150,https://openalex.org/W2106186981,2010.0,42,"['A5070565287', 'A5087587379', 'A5006980420', 'A5039402998']"
151,https://openalex.org/W2208381161,2010.0,41,"['A5071524745', 'A5044898565', 'A5023007469']"
152,https://openalex.org/W2251628179,2015.0,40,"['A5058212934', 'A5088517824']"
153,https://openalex.org/W2597083474,2016.0,40,"['A5043378003', 'A5078136609', 'A5032997049', 'A5046889112', 'A5033998859', 'A5044898565']"
154,https://openalex.org/W3155620213,2021.0,40,"['A5075004264', 'A5024505700', 'A5044898565', 'A5087882533', 'A5080566146', 'A5052165197']"
155,https://openalex.org/W326142932,2012.0,40,"['A5058212934', 'A5047699861', 'A5013200803']"
156,https://openalex.org/W3016545595,2020.0,39,"['A5083384682', 'A5038411636', 'A5025218537', 'A5066787935']"
157,https://openalex.org/W2026722319,2012.0,38,"['A5068819495', 'A5002595735', 'A5044898565']"
158,https://openalex.org/W2920961600,2019.0,38,"['A5083126896', 'A5014283670', 'A5084955495', 'A5061923992', 'A5102872779', 'A5044849571']"
159,https://openalex.org/W2157366881,2012.0,37,"['A5051851888', 'A5061160911', 'A5044898565', 'A5051455237', 'A5004491419', 'A5019000888']"
160,https://openalex.org/W2795781874,2018.0,36,"['A5060426024', 'A5025747145', 'A5071234918', 'A5000508033', 'A5058212934']"
161,https://openalex.org/W3091470749,2020.0,36,"['A5100612627', 'A5103000598', 'A5037727403']"
162,https://openalex.org/W1931803598,2015.0,35,"['A5053038005', 'A5089544677', 'A5084994165', 'A5101755142', 'A5006191066', 'A5015601396', 'A5071261828', 'A5039065189']"
163,https://openalex.org/W2798797339,2018.0,34,"['A5083126896', 'A5061923992', 'A5063752021', 'A5112865214', 'A5084955495', 'A5044849571']"
164,https://openalex.org/W3094036335,2021.0,34,"['A5052428520', 'A5082736459', 'A5079452617']"
165,https://openalex.org/W3169432135,2021.0,33,"['A5072860546', 'A5058212934']"
166,https://openalex.org/W2323801912,2017.0,32,"['A5027289201', 'A5027826966', 'A5052204047', 'A5022660208']"
167,https://openalex.org/W3135504521,2021.0,32,"['A5060334509', 'A5079841024', 'A5082859160', 'A5044223444', 'A5079452617']"
168,https://openalex.org/W4200405801,2021.0,32,"['A5022660208', 'A5063035411']"
169,https://openalex.org/W3037246227,2020.0,31,"['A5061923992', 'A5084955495', 'A5059236838']"
170,https://openalex.org/W3154753326,2021.0,31,"['A5057477336', 'A5043586285', 'A5048702999', 'A5035165297', 'A5025218537']"
171,https://openalex.org/W2137734816,2014.0,30,"['A5002182406', 'A5036998377', 'A5024898168', 'A5024505700', 'A5044898565']"
172,https://openalex.org/W2180166051,2015.0,30,"['A5084955495', 'A5033656008']"
173,https://openalex.org/W2809677895,2018.0,30,"['A5022246692', 'A5083350074', 'A5033933034', 'A5014048759', 'A5015993425', 'A5007739277', 'A5059871346', 'A5035165297', 'A5025218537']"
174,https://openalex.org/W4214848916,2022.0,30,"['A5023753116', 'A5071165387', 'A5002592195', 'A5020901777']"
175,https://openalex.org/W1989932697,2007.0,29,"['A5112237032', 'A5066134932', 'A5058212934']"
176,https://openalex.org/W2804549893,2018.0,29,"['A5075004264', 'A5006426641', 'A5024505700', 'A5044898565']"
177,https://openalex.org/W3198082278,2021.0,29,"['A5017942202', 'A5022660208', 'A5025798806', 'A5088786222', 'A5027948769', 'A5025231493', 'A5033128811', 'A5064133752']"
178,https://openalex.org/W3204961421,2021.0,29,"['A5084955495', 'A5061923992', 'A5009862994', 'A5033656008']"
179,https://openalex.org/W2743056055,2017.0,27,"['A5091251187', 'A5003777693', 'A5009248582', 'A5024505700', 'A5044898565']"
180,https://openalex.org/W2963186711,2018.0,27,"['A5061923992', 'A5084955495', 'A5083126896', 'A5112865214', 'A5044849571']"
181,https://openalex.org/W2885648235,2018.0,26,"['A5062147820', 'A5079919747', 'A5070745736', 'A5000035181', 'A5090606361', 'A5025218537']"
182,https://openalex.org/W2988053367,2019.0,26,"['A5083126896', 'A5088030879', 'A5061923992', 'A5084955495', 'A5112865214', 'A5044849571']"
183,https://openalex.org/W3193304031,2021.0,26,"['A5049240073', 'A5071165387', 'A5014275083', 'A5001141623']"
184,https://openalex.org/W3158013259,2021.0,25,"['A5101438520', 'A5017078013', 'A5072787311', 'A5108731811', 'A5049084929', 'A5013529931']"
185,https://openalex.org/W2154734122,2009.0,24,"['A5070565287', 'A5087587379', 'A5005835240']"
186,https://openalex.org/W2953131916,2018.0,24,"['A5035719810', 'A5015478086', 'A5014048759', 'A5079235287', 'A5036281933', 'A5089795326', 'A5025218537']"
187,https://openalex.org/W2993084405,2019.0,24,"['A5089755342', 'A5071165387', 'A5027326281', 'A5023075601', 'A5102893432']"
188,https://openalex.org/W3197934793,2021.0,24,"['A5000508033', 'A5018718606', 'A5060426024', 'A5058212934']"
189,https://openalex.org/W3200551075,2021.0,24,"['A5084955495', 'A5061923992', 'A5007088227', 'A5007458424', 'A5059236838']"
190,https://openalex.org/W4288065532,2021.0,24,"['A5012783043', 'A5084955495', 'A5044849571']"
191,https://openalex.org/W2997488645,2019.0,23,"['A5067061714', 'A5040760651', 'A5049928639', 'A5082975553', 'A5079452617', 'A5006939924']"
192,https://openalex.org/W4311006784,2022.0,23,"['A5073010651', 'A5047286124']"
193,https://openalex.org/W2005601168,2014.0,22,"['A5003777693', 'A5044898565', 'A5015661882', 'A5036237095']"
194,https://openalex.org/W2792010632,2018.0,21,"['A5083126896', 'A5044849571', 'A5084955495', 'A5112865214', 'A5102872779', 'A5061923992']"
195,https://openalex.org/W2909637996,2019.0,20,"['A5061713838', 'A5003138443', 'A5038212708', 'A5042045761', 'A5101802655', 'A5101472713']"
196,https://openalex.org/W2918500664,2019.0,19,"['A5062634559', 'A5053982410', 'A5017637936', 'A5015521326', 'A5025188934', 'A5031729197']"
197,https://openalex.org/W3037713666,2020.0,18,"['A5032666539', 'A5075116664', 'A5084955495', 'A5061923992']"
198,https://openalex.org/W4312429929,2017.0,18,"['A5084955495', 'A5046065286']"
199,https://openalex.org/W3163615094,2021.0,17,"['A5074785110', 'A5022660208', 'A5082391072', 'A5025953837']"
200,https://openalex.org/W2889428649,2018.0,16,"['A5082933570', 'A5003777693', 'A5015100237', 'A5024505700', 'A5044898565', 'A5112460828']"
201,https://openalex.org/W4210689087,2022.0,15,"['A5100657231', 'A5100641927', 'A5100451296', 'A5100328250', 'A5032310854', 'A5042433819', 'A5068161146']"
202,https://openalex.org/W4365148795,2023.0,15,"['A5090030525', 'A5071165387', 'A5016057473']"
203,https://openalex.org/W4239013101,2020.0,14,"['A5071165387', 'A5016057473', 'A5090030525', 'A5023753116', 'A5088463133']"
204,https://openalex.org/W4311477335,2022.0,14,"['A5048724910', 'A5071165387', 'A5029222386']"
205,https://openalex.org/W4281950177,2022.0,11,"['A5042168299', 'A5027487569', 'A5025218537', 'A5007874154']"
206,https://openalex.org/W4283312782,2022.0,11,"['A5003685414', 'A5021538265', 'A5061779789', 'A5025218537', 'A5014662127']"
207,https://openalex.org/W2120869002,1993.0,147,"['A5042418599', 'A5044898565']"
208,https://openalex.org/W1536883094,2005.0,48,"['A5087587379', 'A5070565287']"
209,https://openalex.org/W1994556425,2007.0,48,"['A5071165387', 'A5037695214']"
210,https://openalex.org/W2133763257,2012.0,47,"['A5071165387', 'A5014088619']"
211,https://openalex.org/W1754759123,2008.0,31,"['A5024505700', 'A5044898565']"
212,https://openalex.org/W2158254861,2011.0,30,"['A5070565287', 'A5087587379', 'A5058654623']"
213,https://openalex.org/W2218729176,2015.0,29,"['A5014048759', 'A5025218537', 'A5000035181']"
214,https://openalex.org/W2911731670,2004.0,28,"['A5111491370', 'A5035635558', 'A5024505700', 'A5044898565']"
215,https://openalex.org/W2786418370,2012.0,24,['A5070565287']
216,https://openalex.org/W2780782197,2017.0,23,"['A5102872779', 'A5112865214', 'A5084955495', 'A5083126896', 'A5061923992', 'A5044849571']"
217,https://openalex.org/W1541840410,2018.0,22,['A5071165387']
218,https://openalex.org/W2587499906,2017.0,21,"['A5013376896', 'A5111441876', 'A5022660208']"
219,https://openalex.org/W1966733160,2013.0,20,"['A5084955495', 'A5081008532', 'A5062093738']"
220,https://openalex.org/W2189286999,2015.0,20,"['A5091251187', 'A5036998377', 'A5044898565', 'A5002182406']"
221,https://openalex.org/W2294420157,2021.0,20,"['A5061923992', 'A5084955495']"
222,https://openalex.org/W129600631,2014.0,19,"['A5043883509', 'A5003777693', 'A5075198720', 'A5024505700', 'A5044898565', 'A5054965256', 'A5110342060', 'A5112460828', 'A5015100237']"
223,https://openalex.org/W2793610336,2018.0,19,"['A5022660208', 'A5063035411', 'A5078764980']"
224,https://openalex.org/W2291940675,2021.0,17,"['A5084955495', 'A5061923992', 'A5041808447', 'A5010766332', 'A5067451854']"
225,https://openalex.org/W2963311128,2021.0,17,"['A5084955495', 'A5033656008']"
226,https://openalex.org/W2031229642,2013.0,16,"['A5059674609', 'A5068819495', 'A5044898565']"
227,https://openalex.org/W2134121682,2013.0,16,"['A5002182406', 'A5036998377', 'A5024898168', 'A5044898565', 'A5024505700']"
228,https://openalex.org/W28403109,2011.0,16,"['A5014662127', 'A5069885186', 'A5025218537', 'A5024684865', 'A5034671481', 'A5015989679', 'A5111987183']"
229,https://openalex.org/W2889370414,2017.0,16,"['A5044849571', 'A5112865214', 'A5083126896', 'A5084955495', 'A5061923992']"
230,https://openalex.org/W3090347762,2020.0,16,"['A5070565287', 'A5100700363', 'A5089825406', 'A5014816129']"
231,https://openalex.org/W3037211332,2020.0,15,"['A5091251187', 'A5003777693', 'A5042893723', 'A5044898565']"
232,https://openalex.org/W3145308275,2021.0,15,"['A5015478086', 'A5014048759', 'A5000035181', 'A5025218537']"
233,https://openalex.org/W1545761598,2013.0,14,"['A5070565287', 'A5087587379', 'A5006980420', 'A5101824160', 'A5032456107']"
234,https://openalex.org/W2756204890,2017.0,14,"['A5069479167', 'A5015781386', 'A5082391569', 'A5001174680', 'A5066187890', 'A5110228068', 'A5048877432']"
235,https://openalex.org/W2511514039,2016.0,13,"['A5062634559', 'A5053982410', 'A5017637936', 'A5025188934', 'A5020281960', 'A5062688121', 'A5015521326', 'A5031729197']"
236,https://openalex.org/W4313418182,2022.0,13,"['A5022660208', 'A5042560362', 'A5057474026']"
237,https://openalex.org/W2106087016,2012.0,12,"['A5112237032', 'A5086192753', 'A5066134932', 'A5085362675', 'A5079952846', 'A5058212934', 'A5086962305']"
238,https://openalex.org/W2757390651,2017.0,12,"['A5002428796', 'A5114029578', 'A5058212934']"
